NewsID	NewsTypeID	Title	SubTitle	Summary	Article	DateArticle	DateRelease	DateArchive	Active	Tags	URL
14	0	F**K YOU		A big message to the world from CeeLo	<p><a href="http://www.youtube.com/ceelogreen#p/u/2/CAV0XrbEwNc" target="_parent"><img height="191" width="351" src="http://www.ceelogreen.com/ugc-1/gallery/25/25.jpg" alt="" /><br />  </a></p>	2010-08-20 09:39:00.000	2010-08-20 09:20:00.000	2020-08-20 00:00:00.000	1	fuck you,single,gnarls,crazy	http://www.ceelogreen.com/news,view_14.htm
16	2	Download "F**k You"		F**k You MP3 - $1.29    F**k You Pack featuring a download of the single and tshirt (to be shipped on/around 9/10) - $20.00  	<center>  <p>F**k You <br />  MP3 - $ 1.29</p>  <script type="text/javascript" src="http://cdn.topspin.net/javascripts/topspin_purchase.js?aId=3117&timestamp=1282758393"></script>  <p><a class="ts_buttonlink" href="http://app.topspin.net/store/ceelogreen/3117/fkyoufu?aId=3117&amp;cId=10068673&amp;highlightColor=%23c9c9c9&amp;theme=black&amp;wId=34490">Buy Now</a> <br />  <img alt="" src="http://flash.atlrec.com/cee_lo_green/fuckyou_cover250.jpg" /><br />  <br />  F**k You Pack <br />  featuring a download of the single and tshirt (to be shipped on/around 9/10) - $ 20.00</p>  <script type="text/javascript" src="http://cdn.topspin.net/javascripts/topspin_purchase.js?aId=3117&timestamp=1282758644"></script>  <p><a class="ts_buttonlink" href="http://app.topspin.net/store/ceelogreen/3117/fkyoupack?aId=3117&amp;cId=10068681&amp;highlightColor=%23c9c9c9&amp;theme=black&amp;wId=34497">Buy Now</a><br />  <img alt="" src="http://flash.atlrec.com/cee_lo_green/fuckyou_bundle250.jpg" /><br />  <br />  F**k Her Too Pack<br />  featuring a download of the single and tshirt (to be shipped on/around 9/13) - $ 20.00<br />  <script type="text/javascript" src="http://cdn.topspin.net/javascripts/topspin_purchase.js?aId=3117&timestamp=1282858918"></script><a class="ts_buttonlink" href="http://app.topspin.net/store/ceelogreen/3117/fkhertoopack?aId=3117&amp;cId=10069147&amp;highlightColor=%23c9c9c9&amp;theme=black&amp;wId=34893">Buy Now</a><br />  <img src="http://flash.atlrec.com/cee_lo_green/fherpack.jpg" alt="" /></p>  </center>	2010-08-25 23:17:00.000	2010-08-25 20:25:00.000	2020-08-25 00:00:00.000	1		http://www.ceelogreen.com/news,view_16.htm
17	2	"F** You" available to download on iTunes			<p>You can now download &quot;F**k You&quot; from iTunes for $ 1.29 <a href="http://atlr.ec/aoh6Ne">HERE</a>.</p>	2010-08-31 17:01:00.000	2010-08-31 17:31:00.000	2020-08-31 00:00:00.000	1		http://www.ceelogreen.com/news,view_17.htm
18	0	OFFICIAL VIDEO FOR FUCK YOU!		Watch the brand new, official video for "Fuck You!" NOW!	<p>&quot;Fuck You!&quot; has exploded online and looks set to become one of this year's biggest tracks! <br />  <br />  Now you can watch the official video <a href="http://bit.ly/FuckYouVid" target="_parent">HERE</a> on Cee Lo Green's Facebook page.</p>  <p>&nbsp;</p>	2010-09-01 12:12:00.000	2010-09-01 12:01:00.000	2020-09-01 00:00:00.000	1		http://www.ceelogreen.com/news,view_18.htm
19	2	Pre-order The Lady Killer			You've heard the single, now get ready for the album! The Lady Killer arrives in stores and online on December 7th but you can pre-order it now and get exclusive offers and limited edition pieces of merch. <br />  <br />  The Lady Killer - $ 40.00<br />  * The Lady Killer CD<br />  * Exclusive The Lady Killer Screen Printed Poster<br />  * The Lady Killer T-shirt<br />  * "Georgia" 7" Vinyl Single<br />  * Immediate MP3 download of "F**k You"<br />  <a href="http://www.ceelogreen.com/uspreorder">BUY</a><br /><br />    F**k You - $ 25.00<br />  * The Lady Killer CD<br />  * The Lady Killer T-shirt<br />  * Immediate MP3 download of "F**k You"<br />  <a href="http://www.ceelogreen.com/uspreorder">BUY</a><br /><br />    ...F**k Her Too<br />  CD - $ 10.00<br />  <a href="http://www.ceelogreen.com/uspreorder">BUY</a><br />  DIGITAL - $ 10.00<br />  * Immediate MP3 download of "F**k You"<br />  <a href="http://www.ceelogreen.com/uspreorder">BUY</a>	2010-09-02 15:52:00.000	2010-09-02 15:02:00.000	2020-09-02 00:00:00.000	1		http://www.ceelogreen.com/news,view_19.htm
20	1	PRE-ORDER FUCK YOU NOW!!			<p>'Fuck You!', the massive new single, is now available to pre-order from iTunes.&nbsp; The exclusive iTunes EP&nbsp;includes 4 additional tracks:</p>  <p>Tracklisting<br />  1. Fuck You<br />  2. Forget You<br />  3. Fuck You (Le Castle Vania Remix)&nbsp;<br />  4. Georgia<br />  5. Grand Canyon<br />  <br />  Click <a target="_parent" href="http://bit.ly/afFCFU">HERE</a> to visit the iTunes store now!<br />  <br />  As you know the official video for 'Fuck You!' is now up on Cee Lo's official Youtube channel.&nbsp; Make sure you check out what's being said in reviews from The Guardian <a target="_parent" href="http://www.guardian.co.uk/music/musicblog/2010/sep/02/cee-lo-green-fuck-you">here</a> and The Independent <a target="_parent" href="http://www.independent.co.uk/arts-entertainment/music/cee-lo-greens-viral-hit-gets-official-launch-2063988.html">here</a>.</p>	2010-09-03 12:08:00.000	2010-09-03 12:03:00.000	2020-09-03 00:00:00.000	1		http://www.ceelogreen.com/news,view_20.htm
21	1	CEE LO GREEN CO-HOSTS RADIO 1 SHOW!			<p>Cee Lo Green joined Gilles Peterson last night to co-host his show on Radio 1.&nbsp;<br />  <br />  Click <a target="_parent" href="http://www.bbc.co.uk/programmes/b00tm0tq">here</a> to hear the show and find out all about Prince's private parties, the brand new music&nbsp;AND you'll even hear a bit of freestyle singing!</p>	2010-09-08 13:58:00.000	2010-09-08 13:08:00.000	2020-09-08 00:00:00.000	1		http://www.ceelogreen.com/news,view_21.htm
22	1	CEE LO GREEN NME INTERVIEW			<p>Cee Lo Green caught up with the NME recently for a quick interview.&nbsp; Find out more about the man they call The Ladykiller <a target="_parent" href="http://www.ceelogreen.com/nme">HERE</a>!</p>	2010-09-10 14:58:00.000	2010-09-10 14:10:00.000	2020-09-10 00:00:00.000	1		http://www.ceelogreen.com/news,view_22.htm
23	1	EXCLUSIVE NEW F**K YOU T-SHIRT!!			<p>You can now get your hands on three exclusive T-shirt designs from Cee Lo's smash video 'Fuck You!' 'I'm More Atari', 'Shit She's A Golddigger' and 'Fuck You!' are available in both men's and women's, and you get your favourite design and Cee Lo's brand new single for just &pound;15.98! There are only 50 of each design in the world! <br />  <br />  Click <a href="http://www.ceelogreen.com/store.htm" target="_parent">HERE</a> to visit the store!</p>	2010-09-10 16:16:00.000	2010-09-10 16:10:00.000	2020-09-10 00:00:00.000	1		http://www.ceelogreen.com/news,view_23.htm
24	1	ONLY UK DATE			<p>Cee Lo Green will be playing a special one-off London show at Cargo on 27th September. This is Cee Lo's ONLY UK date this year, so tickets will go quickly.</p>  <p>Make sure you sign up to the mailing list to receive an EXCLUSIVE ticket pre-sale link tomorrow!!</p>	2010-09-14 14:28:00.000	2010-09-14 14:14:00.000	2020-09-14 00:00:00.000	0		http://www.ceelogreen.com/news,view_24.htm
25	1	TICKETS NOW ON SALE			<p>Tickets for Cee Lo Green's one-off London show at Cargo on September 27th are now on sale! Visit the store <a target="_parent" href="http://www.ceelogreen.com/store.htm">HERE</a> to get your ticket now!</p>	2010-09-16 10:45:00.000	2010-09-16 10:16:00.000	2020-09-16 00:00:00.000	0		http://www.ceelogreen.com/news,view_25.htm
26	3	The Lady Killer Available in Canada!			<p>Canadian fans of Cee Lo Green can now pre-order two sepcial edition bundles of The Lady Killer; the <strong>Fan Premium Edition</strong> and the <strong>Deluxe Edition</strong>.</p>  <p>Fan Premium Edition Includes:<br />  <br />  The Lady Killer CD<br />  The Lady Killer Screen Printed Poster<br />  The Lady Killer T-shirt<br />  Georgia 7&quot; Vinyl Single<br />  MP3 Download of F**k You</p>  <p>The Deluxe Edition Includes:</p>  <p>The Lady Killer CD<br />  The Lady Killer T-shirt<br />  MP3 Download of F**k You<br />  <br />  Click <a target="_parent" href="http://www.rhinorecords.ca/shop/products/Merchandise+Catalog/PID-ceeloprem.aspx"><strong>HERE</strong></a> to pre-order now!</p>	2010-09-20 09:00:00.000	2010-09-20 09:20:00.000	2020-09-20 00:00:00.000	1		http://www.ceelogreen.com/news,view_26.htm
27	2	New York Show Announced			<p>Responding to massive popular demand, Cee Lo Green has moved up the release of his new album. THE LADY KILLER will now arrive in stores and online on November 9th.<br />  <br />  Cee Lo will herald the album release with an eagerly awaited New York City solo concert, slated for October 7th at the world famous Irving Plaza. Presale tickets are available to purchase beginning today BUT are limited to a first come, first served basis, so you'll need to act quick!     Get your tickets <a href="http://tixx1.artistarena.com/ceelogreen/">HERE</a> and use the following login info: <br />  <br />  username: fuck<br />  password: you<br /><br />    Tickets will also be available through <a href="http://www.livenation.com/">Live Nation</a>, as of tomorrow at 10AM. 	2010-09-22 17:02:00.000	2010-09-22 17:22:00.000	2020-09-22 00:00:00.000	1		http://www.ceelogreen.com/news,view_27.htm
28	1	CEE LO GREEN STOOL PIGEON FEATURE			<p>Make sure you read&nbsp;Cee Lo Green's&nbsp;recent Stool Pigeon feature.&nbsp; The article&nbsp;looks right back to Cee Lo's childhood, the Goodie Mob years and much more.</p>  <p>Click <a target="_parent" href="http://bit.ly/a2Ws5s">HERE</a> to read now!</p>	2010-09-23 10:30:00.000	2010-09-23 10:23:00.000	2020-09-23 00:00:00.000	1		http://www.ceelogreen.com/news,view_28.htm
29	2	Watch the making of 'F**k You' video			<p>You've seen the music video for 'F**k You', now go behind the scenes and watch the making of the video <a href="http://www.ceelogreen.com/uspreorder" target="_parent">HERE</a>.</p>	2010-09-24 20:48:00.000	2010-09-24 20:24:00.000	2020-09-24 00:00:00.000	1		http://www.ceelogreen.com/news,view_29.htm
30	1	CEE LO PERFORMS AT BBC Radio 1 XTRA LIVE			<p>Cee Lo Green was the secret performer at BBC Radio 1 Xtra Live this weekend.&nbsp; Watch him perform 'Forget You' live below now!</p>  <p>&nbsp;</p>  <object style="height: 243.75px; width: 400px"><param name="movie" value="http://www.youtube.com/v/yIg1aLR4AF4?version=3"><param name="allowFullScreen" value="true"><param name="allowScriptAccess" value="always"><embed src="http://www.youtube.com/v/yIg1aLR4AF4?version=3" type="application/x-shockwave-flash" allowfullscreen="true" allowScriptAccess="always" width="400" height="243.75"></object>	2010-09-27 13:46:00.000	2010-09-27 13:27:00.000	2020-09-27 00:00:00.000	1		http://www.ceelogreen.com/news,view_30.htm
31	1	MAKING OF F**K YOU!		Go behind the scenes of the video for Fuck You...	<p>Go behind the scenes with Cee Lo Green for the filming of 'Fuck You', the first single from his forthcoming album 'The Lady Killer'.</p>  <object width="400" height="243.75"><param name="movie" value="http://www.youtube.com/v/AHAOrBptq04&hl=en_GB&feature=player_detailpage&version=3"></param><param name="allowFullScreen" value="true"></param><param name="allowScriptAccess" value="always"></param><embed src="http://www.youtube.com/v/AHAOrBptq04&hl=en_GB&feature=player_detailpage&version=3" type="application/x-shockwave-flash" allowfullscreen="true" allowScriptAccess="always" width="400" height="243.75"></embed></object>	2010-09-28 11:25:00.000	2010-09-28 11:28:00.000	2020-09-28 00:00:00.000	1		http://www.ceelogreen.com/news,view_31.htm
32	2	New York Show Cancellation			Due to an unforeseen scheduling conflict, Cee Lo’s October 7th show at Irving Plaza in New York will be postponed to a later date. Tickets can be refunded at point of purchase.      	2010-09-29 16:24:00.000	2010-09-29 16:29:00.000	2020-09-29 00:00:00.000	1		http://www.ceelogreen.com/news,view_32.htm
33	2	Cee Lo Green featured in VH1 Top 20 Countdown			Check out Cee Lo Green, featured in the VH1 Top 20 Countdown!<br /><br />  <embed src="http://media.mtvnservices.com/mgid:uma:video:vh1.com:577778 <http://media.mtvnservices.com/mgid:uma:video:vh1.com:577778> " width="512" height="319" wmode="transparent" type="application/x-shockwave-flash" flashVars="configParams=vid%3D577778%26uri%3Dmgid%3Auma%3Avideo%3Avh1.com%3A577778%26instance%3Dvh1" allowFullScreen="true" allowScriptAccess="always" base="."></embed><div><a style="padding:0px 4px 0px 10px; font-family:Verdana,sans-serif; font-weight:bold; font-size:10px; color:#000000; text-decoration:none;" href="http://www.vh1.com/shows/ <http://www.vh1.com/shows/%20>  " onmouseover="this.style.textDecoration='underline'" onmouseout="this.style.textDecoration='none'" target="_blank">VH1 TV Shows</a> | <a style="padding:0px 4px 0px 10px; font-family:Verdana,sans-serif; font-weight:bold; color:#000000; font-size:10px; text-decoration:'none';" href="http://www.vh1.com/video/music.jhtml <http://www.vh1.com/video/music.jhtml> " onmouseover="this.style.textDecoration='underline'" onmouseout="this.style.textDecoration='none'" target="_blank">Music Videos </a> | <a style="padding:0px 4px 0px 10px; font-family:Verdana,sans-serif; font-weight:bold; color:#000000; font-size:10px; text-decoration:none;" href="http://www.vh1.com/photos/ <http://www.vh1.com/photos/%20>  " onmouseover="this.style.textDecoration='underline'" onmouseout="this.style.textDecoration='none'" target="_blank">Celebrity Photos</a> | <a style="padding:0px 4px 0px 10px; font-family:Verdana,sans-serif; font-weight:bold; color:#000000; font-size:10px; text-decoration: none;" href="http://www.vh1.com/news/ <http://www.vh1.com/news/> " onmouseover="this.style.textDecoration='underline'" onmouseout="this.style.textDecoration='none'" target="_blank">News & Gossip</a></div>  	2010-09-29 17:03:00.000	2010-09-29 17:29:00.000	2020-09-29 00:00:00.000	1		http://www.ceelogreen.com/news,view_33.htm
34	1	Fuck You Out Now!			<p>Fuck You, the brand new single from Cee Lo Green, is out now and available to <a target="_blank" href="http://bit.ly/bGKuQ1">buy</a> from iTunes. You can buy the exclusive 5-track iTunes EP for only &pound;1.99!</p>  <p>Tracklisting:</p>  <p>1. Fuck You<br />  2. Forget You<br />  3. Fuck You (Le Castle Vania Remix)<br />  4. Georgia<br />  5. Grand Canyon</p>  <p>Click <a target="_blank" href="http://bit.ly/bGKuQ1">HERE</a> to buy now!</p>	2010-10-03 13:54:00.000	2010-10-03 13:03:00.000	2020-10-03 00:00:00.000	1		http://www.ceelogreen.com/news,view_34.htm
35	1	Cee Lo on Later With Jools Holland			<p>Cee Lo will be on 'Later With Jools Holland' this evening, performing 'Forget You' for the first time in the UK as well as 'Old Fashioned'.&nbsp;<br />  <br />  Make sure you tune in to BBC 2 at 10pm to watch it.</p>	2010-10-05 17:30:00.000	2010-10-05 17:05:00.000	2020-10-05 00:00:00.000	1		http://www.ceelogreen.com/news,view_35.htm
36	1	Watch Fuck You on Later With Jools Holland!			<p>Cee Lo Green was on 'Later With Jools Holland' last night!&nbsp; You can watch his exclusive performance of 'Fuck You' by clicking&nbsp;below, or click <a target="_parent" href="http://www.bbc.co.uk/iplayer/episode/b00v8rr5/Later_Live..._with_Jools_Holland_Series_37_Episode_4/">HERE</a> to watch the whole show.</p>  <p><a target="_blank" href="http://www.bbc.co.uk/later/"><img alt="" border="0" src="http://www.wmuk-apache.co.uk/ceelogreen/website/Ceelogreen_lwjh_still_overlay.jpg" /></a></p>	2010-10-06 09:41:00.000	2010-10-06 09:06:00.000	2020-10-06 00:00:00.000	1		http://www.ceelogreen.com/news,view_36.htm
37	1	WATCH CEE LO'S INTERVIEW WITH THE NME			<p>Watch Cee Lo Green talk to the NME about his musical inspiration, the meaning behind &lsquo;Fuck You&rsquo; and his forthcoming album.</p>  <p>Click <a target="_parent" href="http://www.nme.com/video/bcid/625490734001/search/NME">HERE</a> to watch the&nbsp;interview now.</p>	2010-10-06 15:49:00.000	2010-10-06 15:06:00.000	2020-10-06 00:00:00.000	1		http://www.ceelogreen.com/news,view_37.htm
38	1	Cee Lo Guardian Interview			<p>Cee Lo&nbsp;recently caught up with&nbsp;Ben Beaumont-Thomas for a Guardian Music Weekly Podcast to deconstruct 'Fuck You' and talk about music.<br />  <br />  Listen to the interview HERE now (2:15-7:08).</p>	2010-10-08 15:29:00.000	2010-10-08 15:08:00.000	2020-10-08 00:00:00.000	1		http://www.ceelogreen.com/news,view_38.htm
39	4	Regardez le clip de "Fuck You"			<object width="400" height="240.625"><param name="movie" value="http://www.youtube.com/v/pc0mxOXbWIU?fs=1&amp;hl=fr_FR"></param><param name="allowFullScreen" value="true"></param><param name="allowscriptaccess" value="always"></param><embed src="http://www.youtube.com/v/pc0mxOXbWIU?fs=1&amp;hl=fr_FR" type="application/x-shockwave-flash" allowscriptaccess="always" allowfullscreen="true" width="400" height="240.625"></embed></object>	2010-10-11 16:17:00.000	2010-10-11 16:11:00.000	2020-10-11 00:00:00.000	1		http://www.ceelogreen.com/news,view_39.htm
40	2	Vote Eclipse Soundtrack at the AMAs!			<p>The Eclipse Soundtrack, featuring 'What Part Of Forever' by Cee Lo, has been nominated for an American Music Award! But we need YOUR help to make sure it wins the award for Best Soundtrack of 2010 and beat contending soundtracks by Glee and Iron Man 2. Cast your vote for Eclipse Soundtrack before November 12 and the winner will be revealed live during the AMAs on Sunday, November 21 at 8pm ET/PT on ABC. <br />  <br />  <a href="http://abc.go.com/shows/american-music-awards/vote?vid=3048">Click HERE to vote for Eclipse Soundtrack!</a></p>	2010-10-12 23:02:00.000	2010-10-12 23:12:00.000	2020-10-12 00:00:00.000	1		http://www.ceelogreen.com/news,view_40.htm
41	2	Band Of Horses Cover Cee Lo			Following Cee Lo's cover of Band Of Horses <a href="http://www.youtube.com/watch?v=wXiTwalPvuQ">"No One’s Gonna Love You"</a>, the band have returned the favor by covering Cee-Lo’s  "Georgia".<br /><br />    Both the songs will be included on a split 7&#8243; vinyl that is coming out in December. You can pre-order it right now from Band Of Horses' website <a href="http://www.bandofhorses.com/us/georgia">HERE</a>. <br /><br />    Band Of Horses performed the cover to close their set at Austin City Limits. Watch the live take, below:<br /><br />    <object width="100%" height="390"><param name="movie" value="http://www.youtube.com/v/VkYB3BniHEs&rel=0&hl=en_US&feature=player_embedded&version=3"></param><param name="allowFullScreen" value="true"></param><param name="allowScriptAccess" value="always"></param><embed src="http://www.youtube.com/v/VkYB3BniHEs&rel=0&hl=en_US&feature=player_embedded&version=3" type="application/x-shockwave-flash" allowfullscreen="true" allowScriptAccess="always" width="100%" height="390"></embed></object>	2010-10-14 15:44:00.000	2010-10-14 15:14:00.000	2020-10-14 00:00:00.000	1		http://www.ceelogreen.com/news,view_41.htm
42	1	Pre-order The Lady Killer Now!			<p><a target="_blank" href="http://bit.ly/d37lU9"><img alt="" border="0" src="http://www.wmuk-apache.co.uk/ceelogreen/Album%20Packshot%20Hi_small.jpg" /></a></p>  <p>The Lady Killer, the brand new album, is now available to pre-order.<br />  <br />  Pre-order now from:&nbsp; <a style="text-decoration: none" target="_parent" href="http://bit.ly/d37lU9">ITUNES</a>&nbsp;| <a style="text-decoration: none" target="_parent" href="http://bit.ly/9xptJO">HMV&nbsp;</a>| <a style="text-decoration: none" target="_parent" href="http://amzn.to/9Wpiw7">AMAZON</a>&nbsp;| <a style="text-decoration: none" target="_parent" href="http://bit.ly/cPYg1t">PLAY&nbsp;</a>| <a style="text-decoration: none" target="_parent" href="http://www.ceelogreen.com/store/products,ladykiller-album_21.htm">CEELOGREEN.COM</a></p>	2010-10-15 12:00:00.000	2010-10-15 12:15:00.000	2020-10-15 00:00:00.000	1		http://www.ceelogreen.com/news,view_42.htm
43	2	Billboard Album Preview			<p>Get a taste of what to expect from The Lady Killer by heading over to <a href="http://www.billboard.com/news/cee-lo-green-shows-off-new-sound-on-the-1004121389.story#/news/cee-lo-green-shows-off-new-sound-on-the-1004121389.story">Billboard.com</a> and read their album preview.</p>  <p>&nbsp;</p><br /><img src="http://flash.atlrec.com/cee_lo_green/ceelobill.jpg">	2010-10-15 19:51:00.000	2010-10-15 19:15:00.000	2020-10-15 00:00:00.000	1		http://www.ceelogreen.com/news,view_43.htm
44	4	"FUCK YOU" NUMERO 1 EN ANGLETERRE			<p>Le single de Cee Lo Green &quot;Fuck You&quot; est rentr&eacute; directement n&deg;1 des ventes de singles devant Robbie Williams ou encore Swedish House Mafia !</p>  <p><a target="_parent" href="http://T&eacute;l&eacute;chargez le single &quot;Fuck You&quot;">T&eacute;l&eacute;chargez</a> le single &quot;Fuck You&quot;</p>	2010-10-18 15:44:00.000	2010-10-18 15:18:00.000	2020-10-18 00:00:00.000	1		http://www.ceelogreen.com/news,view_44.htm
